Company,Model,MSE
MUFG,LSTM,0.1593667807781556
PBR,LSTM,0.6374838360284552
T,LSTM,1.0555838130146284
PPL,LSTM,2.200350776249268
FTS,LSTM,3.398215217109369
VZ,LSTM,3.555692046531593
UL,LSTM,4.425624375171649
ROL,LSTM,4.644542901265842
HSBC,LSTM,4.909635821334189
CCJ,LSTM,5.963787676913936
SNY,LSTM,5.99982745511614
BP,LSTM,6.301107332739805
BAC,LSTM,6.405955312389958
PFE,LSTM,6.66141817052198
CMCSA,LSTM,6.738537491553433
KO,Prophet,6.9362953115280455
CSCO,LSTM,8.088738235357448
FITB,LSTM,8.73804516282114
PM,ARIMA,8.807703840375257
BMY,LSTM,8.924973223319833
MDLZ,LSTM,9.52591182677434
TD,ARIMA,9.582860026028488
SHEL,Prophet,10.76641602389936
BUD,SARIMA,10.908039716734589
AZN,LSTM,11.74749504290487
WFC,LSTM,12.67161549837972
TTE,LSTM,14.395829189945974
BHP,ARIMA,14.69868736055802
INTC,LSTM,15.42887019340538
TJX,LSTM,15.580855661655656
MRK,LSTM,16.018939923763902
NVS,LSTM,16.095310449256843
CCL,LSTM,16.2894914484386
RIO,ARIMA,17.380215574072082
HDB,LSTM,20.250399935163394
NEE,LSTM,21.521876428066843
RY,LSTM,23.970361556370815
PG,ARIMA,27.371339332675145
RTX,LSTM,31.49084494376969
ORCL,LSTM,31.605854286449993
SBUX,ARIMA,34.01728395030085
FMX,LSTM,34.35243965912183
ABT,LSTM,36.06440991791369
PGR,LSTM,38.06689337374121
PEP,LSTM,43.32789652415236
ABBV,LSTM,44.73523523914054
MS,LSTM,47.003213049784684
JNJ,LSTM,47.24519144982549
TMUS,LSTM,49.321113047274025
COP,LSTM,49.32637934650397
MMC,LSTM,51.46633282995049
DIS,SARIMA,52.69441508321942
IBM,LSTM,56.488570947220005
LYV,LSTM,59.248310541101354
GE,LSTM,60.705783621775474
QCOM,ARIMA,62.97697824902081
BX,LSTM,63.50424355774219
TM,LSTM,67.077985089477
NKE,LSTM,70.57891727537337
TXN,LSTM,73.50374658861222
SAP,LSTM,78.24000821388422
IFF,LSTM,83.87052438744628
HON,ARIMA,93.44568707262277
CVX,ARIMA,107.05791728423809
AMAT,LSTM,113.3907687296197
BABA,ARIMA,115.31007730406546
MCD,LSTM,117.56074703229082
AXP,LSTM,128.59047702392238
UPS,LSTM,130.60342686459543
AMD,LSTM,136.60903168217973
LOW,ARIMA,142.63786801090143
STE,LSTM,148.73414144720678
UNP,LSTM,166.48318161795487
AMGN,LSTM,171.24554685103956
DHR,LSTM,180.25156330735726
PDD,SARIMA,197.34376674429853
SYK,LSTM,198.2829010602741
LIN,SARIMA,221.91358912265426
AMT,LSTM,224.07582042559807
CAT,LSTM,264.66157091439715
CRM,LSTM,269.4140876277396
ACN,LSTM,317.20445299481895
HD,ARIMA,335.1727314484132
GS,Prophet,389.90184014761
SPGI,SARIMA,417.3481674122148
MA,LSTM,463.3634295755456
COST,SARIMA,469.0836081536824
ISRG,LSTM,492.6167636167773
BA,ARIMA,628.7132488514421
ELV,LSTM,637.9028636656209
LMT,LSTM,707.4086162011986
TMO,LSTM,939.128434824404
INTU,LSTM,1474.3357883879846
ADBE,LSTM,1476.0461008226712
BLK,ARIMA,1513.9078959936285
NFLX,LSTM,1749.0346002777178
NOW,LSTM,2246.638615548571
LRCX,LSTM,2513.1859344302493
ASML,LSTM,3015.183854342972
NVR,LSTM,114015.26171036852
