Company,Model,MSE
AZN,ARIMA,13.003552974214955
AZN,LSTM,5.078868324892172
AZN,Prophet,95.63257626033011
AZN,SARIMA,29.951657264109535
BAC,ARIMA,43.83451265072407
BAC,LSTM,2.4306851426189726
BAC,Prophet,14.619672356287545
BAC,SARIMA,71.22247789462115
BHP,ARIMA,19.12560057984439
BHP,LSTM,6.903388935644636
BHP,Prophet,15.657711058367344
BHP,SARIMA,81.13977975725976
BP,ARIMA,18.888212575731178
BP,LSTM,2.4261347652315113
BP,Prophet,7.484638346938034
BP,SARIMA,14.784144430381714
BUD,ARIMA,21.40988031276137
BUD,LSTM,7.924202904962843
BUD,Prophet,140.40472817396667
BUD,SARIMA,27.752545743038876
CCJ,ARIMA,85.19399785901842
CCJ,LSTM,2.2293161182663757
CCJ,Prophet,53.57228404720727
CCJ,SARIMA,53.1956119303751
FITB,ARIMA,55.83189205716489
FITB,LSTM,2.8998475929162324
FITB,Prophet,10.537237733303655
FITB,SARIMA,88.30477803035684
FTS,ARIMA,10.03633444625182
FTS,LSTM,1.4530865701200986
FTS,Prophet,40.784719063763426
FTS,SARIMA,5.452834389558616
HDB,ARIMA,19.638375553270876
HDB,LSTM,8.198126102916259
HDB,Prophet,53.81647514682424
HDB,SARIMA,42.56957104685918
HSBC,ARIMA,67.95934359549588
HSBC,LSTM,1.5274415405252495
HSBC,Prophet,72.8657397264174
HSBC,SARIMA,78.88479776102811
IBM,ARIMA,101.42941645830848
IBM,LSTM,19.606916379921138
IBM,Prophet,88.54073838781771
IBM,SARIMA,66.55205207094677
KO,ARIMA,5.618289584535757
KO,LSTM,2.747517286675717
KO,Prophet,8.29210320806833
KO,SARIMA,15.395569366336401
MDLZ,ARIMA,25.760864925564267
MDLZ,LSTM,3.9404330096900813
MDLZ,Prophet,77.88625259920155
MDLZ,SARIMA,13.613190192576607
MRK,ARIMA,14.700658005310009
MRK,LSTM,7.796899388659713
MRK,Prophet,77.37068527641199
MRK,SARIMA,116.59928872046986
MUFG,ARIMA,5.075587077838182
MUFG,LSTM,0.06181423354087994
MUFG,Prophet,11.012688039265074
MUFG,SARIMA,5.196356534581759
PBR,ARIMA,17.492827530233193
PBR,LSTM,0.308253544871847
PBR,Prophet,3.660919634375076
PBR,SARIMA,14.700220407492324
PFE,ARIMA,78.09212424792042
PFE,LSTM,2.3773580406514068
PFE,Prophet,31.782950903054385
PFE,SARIMA,107.94794478917437
PM,ARIMA,15.140223519990375
PM,LSTM,9.532232024712073
PM,Prophet,29.616869389910544
PM,SARIMA,81.64499242469263
PPL,ARIMA,2.43121575301344
PPL,LSTM,0.9940162280870452
PPL,Prophet,2.158846444530072
PPL,SARIMA,3.596615622743623
RIO,ARIMA,25.25792140789773
RIO,LSTM,9.276260766436051
RIO,Prophet,67.33140436429916
RIO,SARIMA,25.892430402598762
ROL,ARIMA,17.01274908073849
ROL,LSTM,2.2887713313318634
ROL,Prophet,16.247806682186273
ROL,SARIMA,36.068263534708066
RY,ARIMA,35.43434240761908
RY,LSTM,7.986943585088857
RY,Prophet,86.50539113741713
RY,SARIMA,105.59338018636662
SHEL,ARIMA,58.48056021609177
SHEL,LSTM,5.407401211074814
SHEL,Prophet,12.529533055800453
SHEL,SARIMA,56.4275151451883
T,ARIMA,5.677332253495699
T,LSTM,0.36467146678945894
T,Prophet,3.9447938133584546
T,SARIMA,7.319457551145198
TD,ARIMA,17.714009226635824
TD,LSTM,4.6848193617986436
TD,Prophet,57.87621014678336
TD,SARIMA,50.29573319132128
TJX,ARIMA,61.060483626722224
TJX,LSTM,6.961823869382931
TJX,Prophet,166.59494221230017
TJX,SARIMA,14.488574541016405
TTE,ARIMA,35.70935825895918
TTE,LSTM,5.215028629361219
TTE,Prophet,29.8816124500239
TTE,SARIMA,7.367591280644099
UL,ARIMA,7.9278361333285785
UL,LSTM,1.9109232536900194
UL,Prophet,117.54039076787362
UL,SARIMA,6.9006730324258925
VZ,ARIMA,4.328639412861147
VZ,LSTM,1.3932314543965336
VZ,Prophet,96.79884803500867
VZ,SARIMA,16.874344918500526
WFC,ARIMA,6.933549879776368
WFC,LSTM,4.723023922995543
WFC,Prophet,17.500779770186153
WFC,SARIMA,6.989823236591382
