Company,Model,MSE
AZN,ARIMA,43.51386421373143
AZN,LSTM,11.74749504290487
AZN,Prophet,121.4186847213645
AZN,SARIMA,16.83405891246185
BAC,ARIMA,12.204604321943032
BAC,LSTM,6.405955312389958
BAC,Prophet,15.84367731329836
BAC,SARIMA,24.251790102572926
BHP,ARIMA,14.69868736055802
BHP,LSTM,20.49790305513201
BHP,Prophet,19.657730359415147
BHP,SARIMA,59.01637058153799
BP,ARIMA,11.361471034496608
BP,LSTM,6.301107332739805
BP,Prophet,6.308601754484507
BP,SARIMA,11.421798522596943
BUD,ARIMA,11.6900614069985
BUD,LSTM,24.850240818405418
BUD,Prophet,148.58804991712188
BUD,SARIMA,10.908039716734589
CCJ,ARIMA,98.4701686870641
CCJ,LSTM,5.963787676913936
CCJ,Prophet,47.22815233646834
CCJ,SARIMA,57.43863380757533
FITB,ARIMA,57.18323719376211
FITB,LSTM,8.73804516282114
FITB,Prophet,10.940875378733573
FITB,SARIMA,94.9818470124313
FTS,ARIMA,6.384976429715754
FTS,LSTM,3.398215217109369
FTS,Prophet,36.61075849575525
FTS,SARIMA,5.287505700671895
HDB,ARIMA,20.932932496488032
HDB,LSTM,20.250399935163394
HDB,Prophet,58.12873518431818
HDB,SARIMA,51.770831240908755
HSBC,ARIMA,58.597825998018465
HSBC,LSTM,4.909635821334189
HSBC,Prophet,70.5121178724284
HSBC,SARIMA,70.05947328667814
KO,ARIMA,31.51823793676857
KO,LSTM,7.291405590443845
KO,Prophet,6.9362953115280455
KO,SARIMA,22.168122358455893
MDLZ,ARIMA,44.70825806507867
MDLZ,LSTM,9.52591182677434
MDLZ,Prophet,62.608500011493234
MDLZ,SARIMA,17.395528132617347
MRK,ARIMA,49.89236846945907
MRK,LSTM,16.018939923763902
MRK,Prophet,81.59870070544723
MRK,SARIMA,65.16623610339931
MUFG,ARIMA,4.4221140265568355
MUFG,LSTM,0.1593667807781556
MUFG,Prophet,10.451159251264482
MUFG,SARIMA,4.510317729489247
PBR,ARIMA,17.05242924022429
PBR,LSTM,0.6374838360284552
PBR,Prophet,3.8573905330195366
PBR,SARIMA,9.050392355900268
PEP,ARIMA,66.965123398038
PEP,LSTM,43.32789652415236
PEP,Prophet,95.66128783040158
PEP,SARIMA,129.19337695915038
PFE,ARIMA,149.07135526204442
PFE,LSTM,6.66141817052198
PFE,Prophet,29.08856701998422
PFE,SARIMA,168.2238570085343
PM,ARIMA,8.807703840375257
PM,LSTM,24.4378656212487
PM,Prophet,39.85852665584232
PM,SARIMA,65.36393955281771
PPL,ARIMA,4.614011297782066
PPL,LSTM,2.200350776249268
PPL,Prophet,2.2506392527397963
PPL,SARIMA,7.608956350640893
RIO,ARIMA,17.380215574072082
RIO,LSTM,18.16114138511864
RIO,Prophet,73.62094396150827
RIO,SARIMA,57.774011985534074
ROL,ARIMA,8.069572250077986
ROL,LSTM,4.644542901265842
ROL,Prophet,22.457199298560386
ROL,SARIMA,7.371928782434343
RY,ARIMA,25.44672706311245
RY,LSTM,23.970361556370815
RY,Prophet,101.77445653903632
RY,SARIMA,61.270006810835326
SHEL,ARIMA,33.97671728895902
SHEL,LSTM,14.21852216249197
SHEL,Prophet,10.76641602389936
SHEL,SARIMA,20.393956558402852
SNY,ARIMA,34.878481686999834
SNY,LSTM,5.99982745511614
SNY,Prophet,245.06527503138273
SNY,SARIMA,25.543672549280743
T,ARIMA,6.448560443059975
T,LSTM,1.0555838130146284
T,Prophet,3.7110330703043264
T,SARIMA,8.289610855165432
TD,ARIMA,9.582860026028488
TD,LSTM,12.486877287191655
TD,Prophet,68.4222370592431
TD,SARIMA,24.555244602859844
TJX,ARIMA,64.66571279912134
TJX,LSTM,15.580855661655656
TJX,Prophet,175.60543493091114
TJX,SARIMA,15.664813540363824
UL,ARIMA,20.738132513162636
UL,LSTM,4.425624375171649
UL,Prophet,116.91753236351745
UL,SARIMA,34.06859741579028
VZ,ARIMA,11.422742052779883
VZ,LSTM,3.555692046531593
VZ,Prophet,95.2155045202691
VZ,SARIMA,12.080621163399817
WFC,ARIMA,15.91012168571261
WFC,LSTM,12.67161549837972
WFC,Prophet,16.073091738056714
WFC,SARIMA,16.612461199045825
